TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Calc,AirTC_Avg,RH,WS_ms_Avg,WindDir,CS106_PB_Avg,Rain_mm_Tot
02/01/2023 11:10,212,711.5,821,146.1469884,23.95,48.16,1.862,218.4,880.1325,-
02/01/2023 11:20,213,727.4,835,141.7989715,24.52,46.6,1.414,163.4,880.0771,-
02/01/2023 11:30,214,744.6,844,143.2946588,24.43,46.06,1.419,73.64,879.9387,-
02/01/2023 11:40,215,756.5,849,143.5394868,25.04,44.46,1.478,88.6,879.7957,-
02/01/2023 11:50,216,775.2,860,147.4882355,24.93,44.86,1.148,161.2,879.7124,-
02/01/2023 12:00,217,784.6,867,146.326732,25.85,43.19,1.719,138.8,879.4651,-
02/01/2023 12:10,218,789.3,863,149.9609043,25.91,42.86,1.711,137.4,879.2249,-
02/01/2023 12:20,219,790.4,858,152.1936137,25.72,43.42,1.119,340.2,879.0053,-
02/01/2023 12:30,220,803,870,154.7008737,25.99,43.13,1.699,86.1,878.8215,-
02/01/2023 12:40,221,815,877,161.7629843,25.6,43.61,1.801,167.9,878.6343,-
02/01/2023 12:50,222,822,885,164.5522091,25.94,42.03,2.565,258.1,878.5074,-
02/01/2023 13:00,223,820,884,166.5033965,25.55,42.49,1.919,37.25,878.394,-
02/01/2023 13:10,224,818,874,176.5075547,25.72,42.04,1.963,335.9,878.1724,-
02/01/2023 13:20,225,818,871,184.7312643,26.69,40.34,2.08,121.5,877.9773,-
02/01/2023 13:30,226,814,857,198.2268537,26.53,40.15,1.74,314.1,877.7534,-
02/01/2023 13:40,227,809,842,212.5470878,27.13,39.07,2.072,126,877.5595,-
02/01/2023 13:50,228,784.2,783.5,238.3805398,26.41,40.08,2.488,112.5,877.4677,-
02/01/2023 14:00,229,218.8,29.69,198.5115556,26.7,40.06,1.76,111,877.3166,-
02/01/2023 14:10,230,361.2,151.8,259.7213924,25.99,41.06,2.389,197.7,877.0673,-
02/01/2023 14:20,231,524.2,309.9,322.0990734,26.44,39.05,3.087,166,876.8137,-
02/01/2023 14:30,232,644.9,502.1,326.4108055,27.54,35.43,3.071,161,876.6039,-
